comment_id,komentar,normalized_text,clean_text,token_count
1,"Org sepintar ini,kalah saya tukang mebel.😢😢😢",org sepintar ini kalah saya tukang mebel,orang pintar kalah tukang mebel,5
2,Perlawanan ojol dgn tolak jokodok,perlawanan ojol dgn tolak jokodok,lawan ojol tolak jokodok,4
3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",pilpres yg untuk menentukan nasib juta orang indonesia saja bisa diatur apalagi cuma untuk orang indonesia ya gak pak nadiem sabar lah ya,pilpres nasib juta orang indonesia atur cuma orang indonesia pak nadiem sabar lah,13
4,Kejahatan Luarbiasa DiNegeri ini,kejahatan luarbiasa dinegeri ini,jahat luarbiasa negeri,3
5,Negara Konoha memang negara paling aneh sedunia..,negara konoha memang negara paling aneh sedunia,negara konoha memang negara paling aneh dunia,7
6,"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢",yg membuka lapangan kerja ber juta orang di indonesia di bui sedangkan koruptor di indonesia yg merajalela semakin solid pasti bung karno soeharto sedih melihat rakyat indonesia sengsara,buka lapang kerja ber juta orang indonesia bui koruptor indonesia rajalela makin solid bung karno soeharto sedih lihat rakyat indonesia sengsara,21
7,Biangkeroknya tangkap! Tapi siapa yang bisa nangkap???😢 semoga Tuhan memberikan hidajah untuk orang2 jujur. Aamiin,biangkeroknya tangkap tapi siapa yang bisa nangkap semoga tuhan memberikan hidajah untuk orang jujur aamiin,biangkeroknya tangkap siapa nangkap moga tuhan beri hidajah orang jujur aamiin,11
8,Yg Korupsi MBG tuh...di Hukum Mati,yg korupsi mbg tuh di hukum mati,korupsi mbg tuh hukum mati,5
9,Kenapa begitu.. coba dehh tolong menolong logikanya egois .. yang menolong jangan setengah-setengah..,kenapa begitu coba dehh tolong menolong logikanya egois yang menolong jangan setengah setengah,coba dehh logika egois jangan tengah tengah,7
10,Astaghfirullah,astaghfirullah,astaghfirullah,1
11,"Gilaaaaaaaa😢😢😢😢😢, ya Allah azab orang-orang yg zholim",gilaaaaaaaa ya allah azab orang orang yg zholim,gilaa allah azab orang orang zholim,6
