comment_id,komentar,normalized_text,clean_text,token_count,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob
1,"Org sepintar ini,kalah saya tukang mebel.😢😢😢",org sepintar ini kalah saya tukang mebel,orang pintar kalah tukang mebel,5,1,0.8857,37,0.0286,0.8857,0.0286,0.0286,0.0286
2,Perlawanan ojol dgn tolak jokodok,perlawanan ojol dgn tolak jokodok,lawan ojol tolak jokodok,4,2,0.4667,45,0.0222,0.0222,0.4667,0.0222,0.4667
3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",pilpres yg untuk menentukan nasib juta orang indonesia saja bisa diatur apalagi cuma untuk orang indonesia ya gak pak nadiem sabar lah ya,pilpres nasib juta orang indonesia atur cuma orang indonesia pak nadiem sabar lah,13,1,0.408,2,0.168,0.408,0.008,0.328,0.088
4,Kejahatan Luarbiasa DiNegeri ini,kejahatan luarbiasa dinegeri ini,jahat luarbiasa negeri,3,3,0.84,12,0.04,0.04,0.04,0.84,0.04
5,Negara Konoha memang negara paling aneh sedunia..,negara konoha memang negara paling aneh sedunia,negara konoha memang negara paling aneh dunia,7,3,0.7846,8,0.0154,0.0154,0.1692,0.7846,0.0154
6,"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢",yg membuka lapangan kerja ber juta orang di indonesia di bui sedangkan koruptor di indonesia yg merajalela semakin solid pasti bung karno soeharto sedih melihat rakyat indonesia sengsara,buka lapang kerja ber juta orang indonesia bui koruptor indonesia rajalela makin solid bung karno soeharto sedih lihat rakyat indonesia sengsara,21,3,0.9758,26,0.0061,0.0061,0.0061,0.9758,0.0061
7,Biangkeroknya tangkap! Tapi siapa yang bisa nangkap???😢 semoga Tuhan memberikan hidajah untuk orang2 jujur. Aamiin,biangkeroknya tangkap tapi siapa yang bisa nangkap semoga tuhan memberikan hidajah untuk orang jujur aamiin,biangkeroknya tangkap siapa nangkap moga tuhan beri hidajah orang jujur aamiin,11,0,0.5368,6,0.5368,0.0105,0.2211,0.0105,0.2211
8,Yg Korupsi MBG tuh...di Hukum Mati,yg korupsi mbg tuh di hukum mati,korupsi mbg tuh hukum mati,5,2,0.5636,31,0.0182,0.0182,0.5636,0.3818,0.0182
9,Kenapa begitu.. coba dehh tolong menolong logikanya egois .. yang menolong jangan setengah-setengah..,kenapa begitu coba dehh tolong menolong logikanya egois yang menolong jangan setengah setengah,coba dehh logika egois jangan tengah tengah,7,1,0.44,20,0.04,0.44,0.44,0.04,0.04
10,Astaghfirullah,astaghfirullah,astaghfirullah,1,0,0.7333,45,0.7333,0.0667,0.0667,0.0667,0.0667
